Тикер,Стратегия,Таймфрейм,AllowShort,Pyramiding,Initial Account Size,Entry %,Дата начала,Дата окончания,Параметры стратегии,Количество сигналов,Количество сделок,Прибыльных сделок,Убыточных сделок,Процент прибыльных сделок,Средняя прибыль,Средний убыток,Среднее время удержания (дней),Среднее время удержания (часов),Макс. просадка (%),Макс. прибыль по сделке,Макс. убыток по сделке,Процент роста,Sharpe,Sortino,Std. return,Reward/Risk
SBER,OBV_Signal_14,1h,False,1,1000000.0,100.0,2014-01-06 10:00:00,2026-04-19 18:00:00,"{""obv_ema_window"":14,""confirmation_bars"":1}",5766,2883,837,2038,29.03,54748.35,-20099.34,0.8,19.24,48.67,692499.8400000002,-1708900.8000000003,486.19,0.54,0.43,0.004,0.0
SBER,VWAP_Signal_yearly_100_5,1D,True,1,1000000.0,100.0,2014-01-06 00:00:00,2026-04-19 00:00:00,"{""vwap_window"":100,""vwap_tol"":0.005,""vwap_mode"":""yearly""}",148,89,26,63,29.21,1078393.69,-229700.04,50.36,,48.51,9662621.679999998,-1611368.7700000003,1356.71,0.91,1.48,0.0173,0.03
SBER,VWAP_Signal_yearly_100_5,1D,False,1,1000000.0,100.0,2014-01-06 00:00:00,2026-04-19 00:00:00,"{""vwap_window"":100,""vwap_tol"":0.005,""vwap_mode"":""yearly""}",148,45,15,30,33.33,772661.33,-128883.72,60.73,,27.29,4481844.079999999,-791830.0400000002,772.34,0.96,1.13,0.0126,0.04
SBER,VWAP_Signal_rolling_100_5,1h,True,1,1000000.0,100.0,2014-01-06 10:00:00,2026-04-19 18:00:00,"{""vwap_window"":100,""vwap_tol"":0.005,""vwap_mode"":""rolling""}",1796,601,208,393,34.61,267406.52,-101258.16,7.45,178.83,35.39,3079124.04,-1074617.550000001,1582.61,0.67,0.87,0.0051,0.01
SBER,VWAP_Signal_rolling_100_5,1h,False,1,1000000.0,100.0,2014-01-06 10:00:00,2026-04-19 18:00:00,"{""vwap_window"":100,""vwap_tol"":0.005,""vwap_mode"":""rolling""}",1796,301,113,188,37.54,189298.98,-67114.69,7.98,191.51,33.95,1462969.6,-548400.5100000005,877.32,0.75,0.68,0.0035,0.01
SBER,Engulfing,1D,True,1,1000000.0,100.0,2014-01-06 00:00:00,2026-04-19 00:00:00,"{""doji_tol"":0.1,""wick_body_ratio"":2.0,""ensemble_window"":5,""min_votes"":2}",323,164,69,95,42.07,121317.97,-86261.62,27.33,,75.81,727010.6600000001,-1568274.07,17.61,0.2,0.25,0.0198,0.01
SBER,HammerDoji,1D,True,1,1000000.0,100.0,2014-01-06 00:00:00,2026-04-19 00:00:00,"{""doji_tol"":0.1,""wick_body_ratio"":2.0,""ensemble_window"":5,""min_votes"":2}",507,262,144,117,54.96,19175.73,-28833.28,17.09,,84.91,151372.42999999996,-205156.56999999998,-61.22,-0.05,-0.05,0.0213,-0.0
SBER,Harami,1D,True,1,1000000.0,100.0,2014-01-06 00:00:00,2026-04-19 00:00:00,"{""doji_tol"":0.1,""wick_body_ratio"":2.0,""ensemble_window"":5,""min_votes"":2}",37,13,9,4,69.23,625196.33,-332594.91,342.31,,76.49,2710545.05,-644895.0000000002,429.64,0.52,0.79,0.025,0.02
SBER,CandleEnsemble_win5_v2,1D,True,1,1000000.0,100.0,2014-01-06 00:00:00,2026-04-19 00:00:00,"{""doji_tol"":0.1,""wick_body_ratio"":2.0,""ensemble_window"":5,""min_votes"":2}",259,144,79,65,54.86,78629.36,-91067.12,31.08,,69.57,418434.10000000015,-901775.8499999999,29.24,0.23,0.28,0.0208,0.01
SBER,Engulfing,1D,False,1,1000000.0,100.0,2014-01-06 00:00:00,2026-04-19 00:00:00,"{""doji_tol"":0.1,""wick_body_ratio"":2.0,""ensemble_window"":5,""min_votes"":2}",323,82,36,46,43.9,147993.98,-81670.04,22.94,,57.0,660949.7799999998,-1484114.47,157.1,0.46,0.32,0.0141,0.01
SBER,HammerDoji,1D,False,1,1000000.0,100.0,2014-01-06 00:00:00,2026-04-19 00:00:00,"{""doji_tol"":0.1,""wick_body_ratio"":2.0,""ensemble_window"":5,""min_votes"":2}",507,131,82,48,62.6,46800.54,-72234.67,20.24,,74.42,366599.86000000004,-564355.0999999999,37.04,0.24,0.2,0.0172,0.01
SBER,Harami,1D,False,1,1000000.0,100.0,2014-01-06 00:00:00,2026-04-19 00:00:00,"{""doji_tol"":0.1,""wick_body_ratio"":2.0,""ensemble_window"":5,""min_votes"":2}",37,7,5,2,71.43,1130962.51,-38617.04,411.71,,45.12,3383856.5999999996,-75424.0,557.76,0.75,0.88,0.015,0.02
SBER,CandleEnsemble_win5_v2,1D,False,1,1000000.0,100.0,2014-01-06 00:00:00,2026-04-19 00:00:00,"{""doji_tol"":0.1,""wick_body_ratio"":2.0,""ensemble_window"":5,""min_votes"":2}",259,72,47,25,65.28,110342.04,-141562.94,30.92,,62.73,673254.4,-1398136.9499999997,164.7,0.45,0.34,0.0151,0.01
SBER,Engulfing,1h,True,1,1000000.0,100.0,2014-01-06 10:00:00,2026-04-19 18:00:00,"{""doji_tol"":0.1,""wick_body_ratio"":2.0,""ensemble_window"":5,""min_votes"":2}",5335,2880,1197,1673,41.56,30707.28,-21511.72,1.56,37.38,66.61,417713.3400000002,-2026306.6500000004,76.75,0.22,0.26,0.0065,0.0
SBER,HammerDoji,1h,True,1,1000000.0,100.0,2014-01-06 10:00:00,2026-04-19 18:00:00,"{""doji_tol"":0.1,""wick_body_ratio"":2.0,""ensemble_window"":5,""min_votes"":2}",6944,3438,1735,1671,50.47,2231.53,-2894.75,1.3,31.32,96.91,60668.240000000034,-125084.96000000014,-96.54,-0.47,-0.57,0.0059,-0.0
SBER,Harami,1h,True,1,1000000.0,100.0,2014-01-06 10:00:00,2026-04-19 18:00:00,"{""doji_tol"":0.1,""wick_body_ratio"":2.0,""ensemble_window"":5,""min_votes"":2}",217,107,49,58,45.79,13484.56,-27868.59,41.59,998.16,96.86,182234.27999999997,-427394.49999999994,-95.56,-0.34,-0.39,0.0068,-0.0
SBER,CandleEnsemble_win5_v2,1h,True,1,1000000.0,100.0,2014-01-06 10:00:00,2026-04-19 18:00:00,"{""doji_tol"":0.1,""wick_body_ratio"":2.0,""ensemble_window"":5,""min_votes"":2}",3921,2189,1020,1148,46.6,13838.52,-12511.71,2.05,49.19,68.05,298521.5999999999,-289196.96,-24.82,0.07,0.08,0.0058,0.0
