ticker,strategy_type,timeframe,method,trial_number,composite_score,param_ensemble_window,param_min_votes,param_doji_tol,param_wick_body_ratio,param_allowshort,metric_return_%,metric_sharpe,metric_sortino,metric_maxdd_%,metric_n_trades,metric_win_rate_%,allowshort,optim_params,params,IS_start,IS_end,OOS_start,OOS_end,FULL_start,FULL_end
SBER,candle_ensemble,1D,DiffEvolution,967,14.193,7,3,0.0450309747554233,2.8198465390306984,False,636.72,0.979,1.056,43.92,5,100.0,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,968,6.674,9,3,0.0815085416272723,3.414560945875412,True,445.51,0.657,0.962,43.86,42,61.9,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,969,-0.005,6,3,0.1366905380211584,2.0997190802123455,True,-49.92,0.007,0.01,73.49,38,55.26,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,970,0.053,7,3,0.0550730221986408,1.9913851612955993,True,16.68,0.281,0.388,88.49,18,55.56,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,971,0.01,9,4,0.1552807024851647,3.1634346441378263,True,3.62,0.207,0.245,78.07,18,66.67,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,972,2.827,6,4,0.0599919960123765,2.2466347288155464,False,350.69,0.595,0.66,73.81,1,100.0,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,973,0.269,5,4,0.1357980487596403,2.1086207305260185,True,-285.64,-0.285,-0.199,303.05,4,25.0,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,974,3.047,7,3,0.1555990662599718,2.8315711245770574,False,216.01,0.553,0.518,39.21,30,66.67,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,975,0.227,5,3,0.0826322801224887,1.5464656587676004,True,-83.17,-0.258,-0.295,94.4,20,30.0,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,976,-0.122,8,3,0.0516402203806392,2.919607286223373,True,-116.85,0.252,0.303,241.76,8,50.0,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,977,1.44,7,3,0.0606181981888375,1.7446597857357773,True,200.88,0.477,0.541,66.54,23,56.52,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,978,29.009,7,3,0.067252123188554,2.858169735255017,False,1022.52,1.246,1.25,43.92,7,100.0,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,979,0.872,8,4,0.0398600556190365,2.290458582811056,True,156.22,0.412,0.548,73.81,4,75.0,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,980,50.309,7,3,0.0694013788737662,3.373284647011921,True,1620.23,1.088,1.627,35.04,15,73.33,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,981,0.573,5,3,0.0346180477928209,2.0398676098612376,True,124.62,0.407,0.577,88.57,8,50.0,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,982,1.951,7,4,0.0585679875106976,2.4041166114090604,False,262.3,0.549,0.527,73.81,1,100.0,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,983,-0.202,8,3,0.0702435293615857,2.605890115723014,True,-152.59,0.286,0.93,216.37,8,50.0,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,984,55.684,7,3,0.0650586310529667,3.088817974959031,True,1948.45,1.128,1.657,39.47,15,80.0,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,985,-0.01,9,3,0.1873039562688715,2.3132818769272214,False,-6.04,0.12,0.095,73.04,58,65.52,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,986,7.159,8,3,0.1689564175226204,3.371762434302858,False,351.51,0.721,0.69,35.4,40,65.0,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,987,-0.013,10,4,0.0832955646606861,3.1469896586900825,False,-15.56,0.062,0.035,73.81,3,33.33,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,988,0.105,5,3,0.0718806515175284,2.4438241454064444,False,32.03,0.238,0.192,72.78,5,60.0,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,989,-0.009,5,3,0.0841416546089281,3.185711812414378,False,-5.96,0.114,0.085,73.76,4,50.0,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,990,56.727,7,3,0.0670671387575519,2.4603920785716977,True,1840.52,1.055,1.543,34.23,15,73.33,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,991,0.046,8,3,0.0657649038359522,3.465252730278197,True,15.93,0.22,0.278,76.34,19,68.42,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,992,44.478,7,3,0.0711408397331259,2.7230067150571227,True,1696.19,1.035,1.53,39.47,17,76.47,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,993,0.297,9,3,0.0328687337717591,1.9070166574050245,False,70.75,0.322,0.28,76.69,18,66.67,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,994,-0.02,8,3,0.0920123089606287,2.105253153803405,True,-63.94,0.028,0.037,91.75,43,51.16,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,995,3.429,4,3,0.0780934178913896,2.7527557017233573,True,406.96,0.622,0.715,73.81,3,66.67,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,996,-0.001,5,3,0.123881824238525,2.1575837511797076,False,-0.49,0.148,0.12,74.11,11,63.64,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,997,-0.171,9,3,0.048249197168978,2.4136035435641965,True,-102.0,0.28,0.925,167.14,9,44.44,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,998,-0.042,7,3,0.1436520165914499,1.5250647441809877,True,-26.73,0.11,0.132,69.59,86,55.81,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,999,7.25,7,3,0.0446730517117256,2.720431233847923,True,1008.73,0.636,0.96,88.49,10,80.0,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,1000,4.165,4,3,0.0437526441450874,3.069010963852084,True,469.34,0.655,0.752,73.81,2,100.0,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,1001,1.547,7,3,0.0333037058475694,1.6726264177828962,False,211.01,0.514,0.429,70.13,11,72.73,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,1002,3.429,4,3,0.0699926742512548,2.7571251573050803,True,406.96,0.622,0.715,73.81,3,66.67,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,1003,1.098,9,4,0.149478573609995,2.5795289742949903,False,171.99,0.471,0.367,73.81,8,87.5,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,1004,-0.023,6,3,0.1183634088576507,2.977267151182218,True,-42.56,0.04,0.055,73.65,28,50.0,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,1005,0.132,9,3,0.1823161605076915,1.9855797304748897,True,-74.06,-0.162,-0.198,91.12,119,52.1,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,1006,14.334,6,3,0.0622906756481692,2.3459513976206896,False,535.18,0.927,0.829,34.61,7,85.71,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,1007,0.796,8,4,0.0694016316255425,2.5277081900863503,False,131.99,0.445,0.3,73.81,2,50.0,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,1008,0.299,7,4,0.0620139177002327,1.7217240006438512,True,73.84,0.33,0.439,81.42,5,60.0,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,1009,-0.001,7,4,0.0712935939100212,2.785460536982215,False,-0.52,0.116,0.054,73.8,1,0.0,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,1010,0.942,6,4,0.1491013634866448,2.559848477826871,True,163.62,0.425,0.545,73.81,4,75.0,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,1011,10.329,10,3,0.1611318610695424,3.324462143704295,True,686.35,0.758,1.158,50.37,99,59.6,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,1012,2.643,6,4,0.1023621537324792,2.661410537264988,True,334.57,0.583,0.666,73.81,2,100.0,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,1013,1.165,10,3,0.0769605164692344,1.7407609293302495,False,155.16,0.459,0.391,61.12,36,69.44,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,1014,0.151,10,3,0.1537347211707107,2.9107273415722457,True,42.11,0.273,0.338,76.32,105,57.14,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,1015,2.703,7,3,0.075964878934242,2.112872576239509,False,174.03,0.535,0.482,34.44,10,70.0,,,,,,,,,
SBER,candle_ensemble,1D,DiffEvolution,1016,-0.034,6,3,0.1244014010108108,2.8240264618855138,True,-36.68,0.065,0.088,70.95,30,53.33,,,,,,,,,
