code,year,month,period,type,amount,curr,cfo,depr_depl_amort,cfi,ppe_purchase,intangibles_purchase,capex,cff,payments_for_dividends,repurchase_of_stock,issuance_of_debt,payments_of_debt,fcf,fcf_adjusted,net_change_in_cash,cash_paid_for_interest,cash_paid_for_tax,ffo
GAZP,2020,6,Q,МСФО,1000000,RUB,169550,197327,-365964,,,300738,199521,,,,,-131188,,,,,
GAZP,2020,6,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
GAZP,2020,9,9M,МСФО,1000000,RUB,1248357,594635,-1163655,,,1089456,-366493,,,,,158901,,,,,
GAZP,2020,9,9M,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
GAZP,2020,9,Q,МСФО,1000000,RUB,488706,197744,-304684,,,369260,-452897,,,,,119446,,,,,
GAZP,2020,9,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
GAZP,2020,12,6M,МСФО,1000000,RUB,1159240,401545,-686631,,,802369,-192825,,,,,356871,,,,,
GAZP,2020,12,6M,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
GAZP,2020,12,Q,МСФО,1000000,RUB,670534,203801,-381947,,,433109,260072,,,,,237425,,,,,
GAZP,2020,12,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
GAZP,2020,12,Y,МСФО,1000000,RUB,1918891,798436,-1545602,,,1522565,-106421,,,,,396326,261000,,,,
GAZP,2020,12,Y,РСБУ,1000,RUB,590197175,676278222,-271500826,,,138480225,-10217036,,,,,451716950,,,,,
GAZP,2021,3,Q,МСФО,1000000,RUB,642996,207670,-495418,,,414783,91561,,,,,228213,,,,,
GAZP,2021,3,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
GAZP,2021,6,6M,МСФО,1000000,RUB,1211986,413843,-855060,,,831440,44495,,,,,380546,,,,,
GAZP,2021,6,6M,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
GAZP,2021,6,Q,МСФО,1000000,RUB,568990,206173,-359642,,,416657,-47066,,,,,152333,,,,,
GAZP,2021,6,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
GAZP,2021,9,9M,МСФО,1000000,RUB,1782380,619993,-1268206,,,1293894,-213343,,,,,488486,,,,,
GAZP,2021,9,9M,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
GAZP,2021,9,Q,МСФО,1000000,RUB,570394,206150,-413146,,,462454,-257838,,,,,107940,,,,,
GAZP,2021,9,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
