code,year,month,period,type,amount,curr,interest_net,commission_income,interest_income,other_operating_income,revenue,cost_of_sales,gross_profit,sel_gen_adm_expenses,operating_income,ebitda,ebitda_adjusted,ebit,earnings_wo_tax,earnings_continuing_operations,earnings,earnings_stock_holders,earnings_comprehensive,earnings_comprehensive_stock_holders
ROSN,2021,3,Q,РСБУ,1000,RUB,-50973484,,31099569,,1474855916,1134512337,340343579,201887963,138455616,154239624,,154239624,103266140,,97129385,97129385,,
ROSN,2021,6,6M,МСФО,1000000000,RUB,-54,,56,,3904,661,3243,398,610,906,1016,588,534,,431,382,,
ROSN,2021,6,6M,РСБУ,1000,RUB,-100065463,,61921635,,3276258170,2482902205,793355965,460236741,333119224,307868781,,307868781,207803318,,196020911,196020911,,
ROSN,2021,6,Q,МСФО,1000000000,RUB,-24,,28,,2167,370,1797,207,367,513,571,350,326,,263,233,,
ROSN,2021,6,Q,РСБУ,1000,RUB,-49091979,,30822066,,1801402254,1348389868,453012386,258348778,194663608,153629157,,153629157,104537178,,98891526,98891526,,
ROSN,2021,9,9M,МСФО,1000000000,RUB,-71,,95,,6224,1068,5156,592,1035,1508,1654,1019,948,,776,696,,
ROSN,2021,9,9M,РСБУ,1000,RUB,-155698185,,93595474,,5496238361,3995635195,1500603166,711866411,788736755,707984728,,707984728,552286543,,537331709,537331709,,
ROSN,2021,9,Q,МСФО,1000000000,RUB,-17,,39,,2320,,1913,194,425,602,638,431,414,,345,314,,
ROSN,2021,9,Q,РСБУ,1000,RUB,-55632722,,31673839,,2219980191,1512732990,707247201,251629670,455617531,400115947,,400115947,344483225,,341310798,341310798,,
ROSN,2021,12,6M,МСФО,1000000000,RUB,-46,,73,,4857,911,3946,391,894,1114,1314,764,718,,581,501,,
ROSN,2021,12,6M,РСБУ,1000,RUB,-122661760,,59221614,,4317573353,3147629198,1169944155,524167448,645776707,639038727,,533574171,410912411,,406909295,406909295,,
ROSN,2021,12,Q,МСФО,1000000000,RUB,-29,,34,,2537,504,2033,197,469,512,676,333,304,,236,187,,
ROSN,2021,12,Q,РСБУ,1000,RUB,-67029038,,27547775,,2097593162,1634896208,462696954,272537778,190159176,238922780,,133458224,66429186,,65598497,65598497,,
ROSN,2021,12,Y,МСФО,1000000000,RUB,-100,,129,,8761,1572,7189,789,1504,2020,2330,1352,1252,,1012,883,,
ROSN,2021,12,Y,РСБУ,1000,RUB,-222727223,,121143249,,7593831523,5630531403,1963300120,984404189,978895931,946907508,,841442952,618715729,,602930206,602930206,,
ROSN,2023,6,6M,МСФО,1000000000,RUB,,,,,3866,,,,1002,1303,1401,928,928,,735,652,,
ROSN,2023,6,6M,РСБУ,1000,RUB,-206236003,,30537925,,3418239217,2512501431,905737786,323343358,542856113,499811033,,499811033,293575030,,257731216,257731216,,
ROSN,2023,9,9M,МСФО,1000000000,RUB,,,,,6612,,,,1778,2210,2403,1629,1629,,1277,1076,,
ROSN,2023,9,9M,РСБУ,1000,RUB,-316975961,,50610795,,5782405023,4306065913,1476339110,544428765,931910345,844520191,,844520191,527544230,,45463958,45463958,,
ROSN,2023,9,Q,МСФО,1000000000,RUB,,,,,2746,,,,776,907,1002,701,701,,542,424,,
ROSN,2023,9,Q,РСБУ,1000,RUB,-110739958,,20072870,,2364165806,1793564482,570601324,221085407,389054232,344709158,,344709158,233969200,,-212267258,-212267258,,
ROSN,2023,12,6M,МСФО,1000000000,RUB,,,,,5297,,,,1180,1423,1604,1029,1029,,794,615,,
