code,year,month,period,type,amount,curr,cfo,depr_depl_amort,cfi,ppe_purchase,intangibles_purchase,capex,cff,payments_for_dividends,repurchase_of_stock,issuance_of_debt,payments_of_debt,fcf,fcf_adjusted,net_change_in_cash,cash_paid_for_interest,cash_paid_for_tax,ffo
NVTK,2024,6,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
NVTK,2024,9,9M,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
NVTK,2024,9,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
NVTK,2024,12,6M,МСФО,1000000,RUB,174708,47217,-48312,,,70923,-101399,,,,,103785,,,,,
NVTK,2024,12,6M,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
NVTK,2024,12,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
NVTK,2024,12,Y,МСФО,1000000,RUB,357142,91429,-260700,,,192970,-76064,,,,,164172,,,,,
NVTK,2024,12,Y,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
NVTK,2025,3,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
NVTK,2025,6,6M,МСФО,1000000,RUB,195689,53131,-70884,,,76439,-52080,,,,,195689,,,,,
NVTK,2025,6,6M,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
NVTK,2025,6,Q,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
NVTK,2025,6,YTM,РСБУ,1000,RUB,,,,,,,,,,,,,,,,,
NVTK,2025,12,6M,МСФО,1000000,RUB,307639,54052,-57987,,,,-143840,,,,,307639,,,,,
NVTK,2025,12,Y,МСФО,1000000,RUB,503328,107183,-128871,,,,-195920,,,,,503328,,159489,,,
NVTK,2025,12,YTM,МСФО,1000000,RUB,503328,107183,-128871,,,,-195920,,,,,503328,,159489,,,
