code,year,month,period,type,amount,curr,interest_net,commission_income,interest_income,other_operating_income,revenue,cost_of_sales,gross_profit,sel_gen_adm_expenses,operating_income,ebitda,ebitda_adjusted,ebit,earnings_wo_tax,earnings_continuing_operations,earnings,earnings_stock_holders,earnings_comprehensive,earnings_comprehensive_stock_holders
NVTK,2021,12,6M,РСБУ,1000,RUB,2857100,,5043987,,399036823,229507885,169528938,70061775,89675527,179194445,,178847726,181704826,,165858708,165858708,,
NVTK,2021,12,Q,МСФО,1000000,RUB,-1067,,3921,,370982,,,12114,73134,194788,259471,176953,175886,,160234,155582,,
NVTK,2021,12,Q,РСБУ,1000,RUB,1484740,,2579302,,218781578,125537400,93244178,39489409,52043202,127049935,,126703216,128187956,,118750378,118750378,,
NVTK,2021,12,Y,МСФО,1000000,RUB,7536,,16000,,1156724,,,34250,279046,550267,748337,493668,501204,,451621,432927,,
NVTK,2021,12,Y,РСБУ,1000,RUB,5515003,,10227869,,729733269,424650570,305082699,140077329,150524884,337213720,,336867001,342382004,,318322706,318322706,,
NVTK,2022,12,Y,РСБУ,1000,RUB,11359157,,16413447,,804688288,451914014,352774274,144223803,180492979,659294396,,658905900,670265057,,640359587,640359587,,
NVTK,2023,6,6M,МСФО,1000000,RUB,18629,,19314,,642975,,,22231,142963,237542,415776,201825,220454,,158172,155644,,
NVTK,2023,6,6M,РСБУ,1000,RUB,14349594,,17482698,,379698170,196757066,182941104,72767818,91934622,352529451,,352529451,366879045,,319936042,319936042,,
NVTK,2023,9,9M,РСБУ,1000,RUB,23972255,,29234670,,574416625,326221531,248195094,105506219,116077079,446134525,,446134525,470106780,,404391855,404391855,,
NVTK,2023,9,Q,РСБУ,1000,RUB,9622661,,11751972,,194718455,129464465,65253990,32738401,24142457,93605074,,93605074,103227735,,84455813,84455813,,
NVTK,2023,12,6M,МСФО,1000000,RUB,25836,,27581,,728533,,,29818,224169,366841,474059,327232,353068,,311315,307387,,
NVTK,2023,12,6M,РСБУ,1000,RUB,19685534,,25621821,,477718952,274341968,203376984,74345350,117151407,226202377,,224029402,243714936,,210508282,210508282,,
NVTK,2023,12,Q,РСБУ,1000,RUB,10062873,,13869849,,283000497,144877503,138122994,41606949,93008950,132597303,,130424328,140487201,,126052469,126052469,,
NVTK,2023,12,Y,МСФО,1000000,RUB,44465,,46895,,1371508,,,52049,367132,604383,889835,529057,573522,,469487,463031,,
NVTK,2023,12,Y,РСБУ,1000,RUB,34035128,,43104519,,857417122,471099034,386318088,147113168,209086029,578731828,,576558853,610593981,,530444324,530444324,,
NVTK,2024,3,Q,РСБУ,1000,RUB,12537676,,16125009,,218732542,135839762,82892780,43087866,27064941,60624315,,60624315,73161991,,65090810,65090810,,
NVTK,2024,6,6M,МСФО,1000000,RUB,33816,,39233,,752404,,,23864,192665,390559,480652,346347,380163,,345441,341677,,
NVTK,2024,6,6M,РСБУ,1000,RUB,23502054,,31478127,,436640779,260270792,176369987,79646258,79383479,96005746,,96005746,119507800,,108245939,108245939,,
NVTK,2024,6,Q,РСБУ,1000,RUB,10964378,,15353118,,217908237,124431030,93477207,36558392,52318538,35381431,,35381431,46345809,,43155129,43155129,,
NVTK,2024,9,9M,РСБУ,1000,RUB,38407074,,51460475,,663553954,397131927,266422027,115014934,123980604,241568074,,241568074,279975148,,242163970,242163970,,
NVTK,2024,9,Q,РСБУ,1000,RUB,14905020,,19982348,,226913175,136861135,90052040,35368676,44597125,145562328,,145562328,160467348,,133918031,133918031,,
NVTK,2024,12,6M,МСФО,1000000,RUB,,,,,793447,,,,132117,274164,526962,226947,193131,,154770,151814,,
NVTK,2024,12,6M,РСБУ,1000,RUB,31225079,,41884758,,501520216,315964228,185555988,80820647,80326776,226055810,,226055810,257280889,,208211203,208211203,,
NVTK,2024,12,Q,РСБУ,1000,RUB,16320059,,21902410,,274607041,179103093,95503948,45451971,35729651,80493482,,80493482,96813541,,74293172,74293172,,
NVTK,2024,12,Y,МСФО,1000000,RUB,,,,,1545851,,,,324782,664723,1007614,573294,573294,,500211,493491,,
NVTK,2024,12,Y,РСБУ,1000,RUB,54727133,,73362885,,938160995,576235020,361925975,160466905,159710255,322061556,,322061556,376788689,,316457142,316457142,,
NVTK,2025,3,Q,РСБУ,1000,RUB,15429814,,20982936,,258038927,161300681,96738246,46343686,45056279,-63189568,,-63189568,-47759754,,-35275182,-35275182,,
NVTK,2025,6,6M,МСФО,1000000,RUB,,,,,804320,,,,155000,302007,471806,248876,248876,,227291,225697,,
NVTK,2025,6,6M,РСБУ,1000,RUB,29501961,,41262065,,439899543,285693639,154205904,84415074,58774545,-2403886,,-2403886,27098075,,25998774,25998774,,
NVTK,2025,6,Q,РСБУ,1000,RUB,14072147,,20279129,,181860616,124392958,57467658,38071388,13718266,60785682,,60785682,74857829,,61273956,61273956,,
NVTK,2025,6,YTM,РСБУ,1000,RUB,60727040,,83146823,,941419759,601657867,339761892,165235721,139101321,223651924,,223651924,284378964,,234209977,234209977,,
NVTK,2025,12,6M,МСФО,1000000,RUB,,,,,641273,,,,125957,44330,387500,-9722,-9722,,-41258,-42670,,
NVTK,2025,12,Y,МСФО,1000000,RUB,,,,,1445593,,,,280957,346337,859306,239154,239154,,186033,183027,207617,204611
NVTK,2025,12,YTM,МСФО,1000000,RUB,,,,,1445593,,,,280957,346337,859306,239154,239154,,186033,183027,207617,204611
